City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
0,Dakar,SN,2021-11-04,14.6937,-17.4441,88.68,79,0,6.91,clear sky
1,Husavik,IS,2021-11-04,66.0449,-17.3389,40.91,99,66,8.43,broken clouds
2,Rikitea,PF,2021-11-04,-23.1203,-134.9692,73.58,78,100,12.59,light rain
3,Lavrentiya,RU,2021-11-04,65.5833,-171.0,14.27,82,100,12.03,overcast clouds
4,Thinadhoo,MV,2021-11-04,0.5333,72.9333,83.5,67,100,13.15,overcast clouds
5,Bredasdorp,ZA,2021-11-04,-34.5322,20.0403,65.52,63,100,25.32,overcast clouds
6,Geraldton,AU,2021-11-04,-28.7667,114.6,63.01,77,90,12.66,overcast clouds
7,Kuntaur,GM,2021-11-04,13.6667,-14.8833,88.27,50,48,8.79,scattered clouds
8,Hithadhoo,MV,2021-11-04,-0.6,73.0833,82.31,74,83,9.69,broken clouds
9,Faya,SA,2021-11-04,18.3851,42.4509,64.51,35,0,3.24,clear sky
10,Vaini,TO,2021-11-04,-21.2,-175.2,75.36,100,75,5.75,light rain
11,Venice,US,2021-11-04,27.0998,-82.4543,77.99,81,1,5.01,clear sky
12,Alofi,NU,2021-11-04,-19.0595,-169.9187,75.09,88,100,3.44,overcast clouds
13,Kattivakkam,IN,2021-11-04,13.2167,80.3167,78.89,85,98,5.64,overcast clouds
14,Kavieng,PG,2021-11-04,-2.5744,150.7967,82.35,71,100,15.64,overcast clouds
15,Faanui,PF,2021-11-04,-16.4833,-151.75,78.82,75,24,10.8,few clouds
16,Port Blair,IN,2021-11-04,11.6667,92.75,80.64,74,37,1.39,scattered clouds
17,Carnarvon,AU,2021-11-04,-24.8667,113.6333,66.27,68,90,19.57,overcast clouds
18,Beringovskiy,RU,2021-11-04,63.05,179.3167,-3.69,89,28,8.01,scattered clouds
19,Leticia,CO,2021-11-04,-4.2153,-69.9406,89.65,62,75,4.61,broken clouds
20,Hobart,AU,2021-11-04,-42.8794,147.3294,48.11,88,0,1.99,clear sky
21,Buala,SB,2021-11-04,-8.145,159.5921,79.56,80,100,5.5,overcast clouds
22,Avarua,CK,2021-11-04,-21.2078,-159.775,75.25,73,29,4.61,light rain
23,Port Elizabeth,ZA,2021-11-04,-33.918,25.5701,64.69,68,0,4.61,clear sky
24,Kapaa,US,2021-11-04,22.0752,-159.319,75.52,83,90,3.0,heavy intensity rain
25,Itarema,BR,2021-11-04,-2.9248,-39.9167,86.92,56,44,13.71,scattered clouds
26,Sao Jose Do Belmonte,BR,2021-11-04,-7.8614,-38.7597,97.81,21,42,7.94,scattered clouds
27,Deputatskiy,RU,2021-11-04,69.3,139.9,-8.09,99,85,3.6,overcast clouds
28,Nome,US,2021-11-04,64.5011,-165.4064,14.07,85,90,0.0,overcast clouds
29,Caborca,MX,2021-11-04,30.5838,-111.101,81.5,13,0,1.48,clear sky
30,Sovetskaya Gavan,RU,2021-11-04,48.9723,140.2878,34.74,83,39,3.67,scattered clouds
31,Busselton,AU,2021-11-04,-33.65,115.3333,50.09,85,5,3.33,clear sky
32,Mataura,NZ,2021-11-04,-46.1927,168.8643,47.48,92,83,0.98,broken clouds
33,Saint George,US,2021-11-04,37.1041,-113.5841,75.67,46,1,1.01,clear sky
34,Ushuaia,AR,2021-11-04,-54.8,-68.3,55.06,44,75,8.05,broken clouds
35,Kresttsy,RU,2021-11-04,58.2452,32.5165,42.64,93,66,6.98,broken clouds
36,Vardo,NO,2021-11-04,70.3705,31.1107,33.78,80,75,8.05,broken clouds
37,Chara,RU,2021-11-04,56.9064,118.2631,8.13,85,100,6.42,light snow
38,Poronaysk,RU,2021-11-04,49.2167,143.1167,34.9,89,69,6.38,broken clouds
39,Hinton,CA,2021-11-04,53.4001,-117.5857,42.1,77,62,2.86,broken clouds
40,Jamestown,US,2021-11-04,42.097,-79.2353,45.3,62,90,1.99,overcast clouds
41,Saldanha,ZA,2021-11-04,-33.0117,17.9442,66.25,85,95,9.89,overcast clouds
42,Port Lincoln,AU,2021-11-04,-34.7333,135.8667,57.24,86,58,11.72,broken clouds
43,Longyearbyen,SJ,2021-11-04,78.2186,15.6401,19.24,73,40,9.22,scattered clouds
44,Provideniya,RU,2021-11-04,64.3833,-173.3,13.93,79,98,9.8,overcast clouds
45,San Julian,MX,2021-11-04,21.0167,-102.1667,74.19,33,24,4.36,few clouds
46,Hilo,US,2021-11-04,19.7297,-155.09,79.29,76,20,5.75,few clouds
47,Chuy,UY,2021-11-04,-33.6971,-53.4616,74.73,73,77,7.99,broken clouds
48,Pernik,BG,2021-11-04,42.6,23.0333,56.8,84,94,6.02,overcast clouds
49,New Norfolk,AU,2021-11-04,-42.7826,147.0587,47.75,76,1,2.15,clear sky
50,Cherskiy,RU,2021-11-04,68.75,161.3,-5.28,99,99,6.26,overcast clouds
51,Talnakh,RU,2021-11-04,69.4865,88.3972,15.62,97,100,15.84,snow
