City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Gat,IL,2021-10-31 18:25:35,31.61,34.7642,83.08,34,38,17.69
1,Hermanus,ZA,2021-10-31 18:19:06,-34.4187,19.2345,63.9,84,96,9.84
2,Ushuaia,AR,2021-10-31 18:19:29,-54.8,-68.3,56.86,41,0,0.0
3,Vaini,TO,2021-10-31 18:18:33,-21.2,-175.2,73.56,94,20,6.91
4,Khamamatyurt,RU,2021-10-31 18:25:39,43.6081,46.5006,50.02,89,96,10.04
5,Barrow,US,2021-10-31 18:25:02,71.2906,-156.7887,28.42,86,90,20.71
6,Bluff,NZ,2021-10-31 18:20:00,-46.6,168.3333,47.66,76,92,17.52
7,Kuytun,RU,2021-10-31 18:25:42,54.3419,101.5036,30.38,82,98,6.96
8,Rikitea,PF,2021-10-31 18:22:18,-23.1203,-134.9692,74.16,87,93,13.4
9,Cherskiy,RU,2021-10-31 18:22:56,68.75,161.3,-0.6,98,100,4.94
10,Hobart,AU,2021-10-31 18:20:20,-42.8794,147.3294,55.26,62,40,1.99
11,Jamestown,US,2021-10-31 18:15:20,42.097,-79.2353,54.01,92,90,3.0
12,Upernavik,GL,2021-10-31 18:18:35,72.7868,-56.1549,33.19,99,100,16.91
13,Olinda,BR,2021-10-31 18:25:49,-8.0089,-34.8553,82.13,74,75,5.75
14,Avarua,CK,2021-10-31 18:20:27,-21.2078,-159.775,73.45,73,40,11.5
15,Iqaluit,CA,2021-10-31 18:25:51,63.7506,-68.5145,37.13,69,90,4.0
16,Port Elizabeth,ZA,2021-10-31 18:25:51,-33.918,25.5701,64.69,94,0,12.66
17,Punta Arenas,CL,2021-10-31 18:22:27,-53.15,-70.9167,53.71,50,0,9.22
18,Gboko,NG,2021-10-31 18:25:53,7.3179,8.9951,82.2,66,100,6.82
19,Bethel,US,2021-10-31 18:25:54,41.3712,-73.414,65.44,71,75,3.0
20,Torbay,CA,2021-10-31 18:23:14,47.6666,-52.7314,47.28,92,90,12.66
21,Richards Bay,ZA,2021-10-31 18:25:56,-28.783,32.0377,65.91,86,0,1.32
22,Pacific Grove,US,2021-10-31 18:25:56,36.6177,-121.9166,63.59,72,60,1.99
23,Bay Roberts,CA,2021-10-31 18:25:56,47.5999,-53.2648,48.06,81,22,4.0
24,Santa Cruz,BO,2021-10-31 18:25:57,-17.8,-63.1667,95.05,46,40,13.8
25,Cape Town,ZA,2021-10-31 18:23:20,-33.9258,18.4232,66.09,69,20,5.75
26,Bambous Virieux,MU,2021-10-31 18:25:57,-20.3428,57.7575,73.65,78,75,3.44
27,Bemidji,US,2021-10-31 18:25:58,47.4736,-94.8803,41.18,70,90,13.8
28,Kodiak,US,2021-10-31 18:23:29,57.79,-152.4072,45.91,87,90,16.11
29,Anadyr,RU,2021-10-31 18:26:00,64.75,177.4833,-3.5,76,0,13.42
30,Chuy,UY,2021-10-31 18:26:02,-33.6971,-53.4616,74.7,71,80,10.63
31,Pinerolo,IT,2021-10-31 18:26:03,44.8833,7.35,53.49,94,100,0.98
32,Arraial Do Cabo,BR,2021-10-31 18:26:04,-22.9661,-42.0278,73.36,94,75,11.5
33,Klaksvik,FO,2021-10-31 18:26:05,62.2266,-6.589,38.32,64,100,4.79
34,Aklavik,CA,2021-10-31 18:26:08,68.2191,-135.0107,34.52,93,75,2.3
35,Tucupita,VE,2021-10-31 18:26:08,9.0622,-62.051,88.45,54,89,4.43
36,Skjervoy,NO,2021-10-31 18:26:09,70.0311,20.9714,39.2,76,69,23.13
37,Nemuro,JP,2021-10-31 18:26:10,43.3236,145.575,50.54,68,73,10.25
38,Georgetown,MY,2021-10-31 18:15:35,5.4112,100.3354,79.9,89,20,2.3
39,Ahipara,NZ,2021-10-31 18:25:05,-35.1667,173.1667,55.72,77,96,9.55
40,Mar Del Plata,AR,2021-10-31 18:25:06,-38.0023,-57.5575,60.1,83,90,8.99
41,Puerto Leguizamo,CO,2021-10-31 18:26:14,-0.1934,-74.7819,79.03,78,100,2.26
42,Puerto Ayora,EC,2021-10-31 18:18:56,-0.7393,-90.3518,75.16,79,82,9.46
43,Takoradi,GH,2021-10-31 18:26:17,4.8845,-1.7554,79.93,84,93,12.55
44,La Peca,PE,2021-10-31 18:26:18,-5.6111,-78.435,87.08,49,44,3.06
45,Nelson Bay,AU,2021-10-31 18:27:20,-32.7167,152.15,57.99,93,84,7.61
46,Nianzishan,CN,2021-10-31 18:27:20,47.5167,122.8833,28.44,31,0,2.48
47,Hualmay,PE,2021-10-31 18:27:21,-11.0964,-77.6139,70.21,68,13,11.1
48,Port Alfred,ZA,2021-10-31 18:19:58,-33.5906,26.891,67.3,85,68,18.43
49,Mataura,NZ,2021-10-31 18:19:19,-46.1927,168.8643,38.61,87,67,2.19
50,Dickinson,US,2021-10-31 18:27:26,29.4608,-95.0513,81.21,39,1,1.01
51,Qaqortoq,GL,2021-10-31 18:27:27,60.7167,-46.0333,30.7,71,78,4.38
52,Half Moon Bay,US,2021-10-31 18:27:28,37.4636,-122.4286,64.81,70,20,1.01
53,Ergani,TR,2021-10-31 18:27:29,38.2653,39.7621,59.72,74,100,2.19
54,San Patricio,US,2021-10-31 18:22:29,28.017,-97.5169,88.21,36,0,11.7
55,Atuona,PF,2021-10-31 18:20:22,-9.8,-139.0333,79.45,75,78,18.03
56,Busselton,AU,2021-10-31 18:17:06,-33.65,115.3333,51.04,83,89,16.33
57,Manokwari,ID,2021-10-31 18:27:32,-0.8667,134.0833,78.12,79,91,4.61
58,Waingapu,ID,2021-10-31 18:27:33,-9.6567,120.2641,80.11,84,80,3.56
59,Kahului,US,2021-10-31 18:27:33,20.8947,-156.47,79.84,67,1,0.0
60,Bredasdorp,ZA,2021-10-31 18:27:35,-34.5322,20.0403,63.72,77,89,6.91
61,Qaanaaq,GL,2021-10-31 18:27:37,77.484,-69.3632,11.28,66,100,9.82
62,Castro,BR,2021-10-31 18:19:18,-24.7911,-50.0119,60.48,96,100,7.29
63,Irkutsk,RU,2021-10-31 18:27:38,52.2978,104.2964,34.57,80,0,8.95
64,Bengkulu,ID,2021-10-31 18:27:40,-3.8004,102.2655,76.95,88,100,3.33
65,Nova Olinda Do Norte,BR,2021-10-31 18:27:41,-3.8881,-59.0942,96.06,40,94,2.1
66,Yelizovo,RU,2021-10-31 18:27:42,53.1873,158.3805,24.94,63,40,6.71
67,Manadhoo,MV,2021-10-31 18:27:43,5.7667,73.3833,80.91,81,100,11.65
68,Port Hedland,AU,2021-10-31 18:27:47,-20.3167,118.5667,71.65,83,40,4.61
69,Claremore,US,2021-10-31 18:27:48,36.3126,-95.6161,63.0,74,40,3.0
70,Portland,US,2021-10-31 18:23:09,45.5234,-122.6762,59.0,44,75,3.0
71,Itupiranga,BR,2021-10-31 18:27:49,-5.1347,-49.3267,93.52,53,77,1.7
